Date Pub,Ville,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Prix
il y a 7 heures,Casablanca,2021,Automatique,Hybride,60 000 - 64 999,Mercedes-Benz,Classe CLA,5,Pas encore dédouanée,Non,8 CV,Excellent,520 000 DH
il y a 7 heures,Rabat,2022,Manuelle,Diesel,90 000 - 94 999,Renault,Express,5,WW au Maroc,Non,6 CV,Très bon,148 000 DH
il y a 7 heures,Casablanca,2021,Automatique,Diesel,110 000 - 119 999,Land Rover,Range Rover Evoque,5,WW au Maroc,Oui,12 CV,Excellent,270 000 DH
il y a 7 heures,Casablanca,2025,Manuelle,Essence,0 - 4 999,Opel,Corsa,5,WW au Maroc,Oui,7 CV,Bon,193 000 DH
il y a 7 heures,Agadir,2002,Manuelle,Diesel,200 000 - 249 999,Skoda,Octavia,5,WW au Maroc,,8 CV,Excellent,78 000 DH
il y a 7 heures,Casablanca,2020,Automatique,Diesel,90 000 - 94 999,BMW,X7,,,,12 CV,Excellent,599 000 DH
il y a 7 heures,Rabat,2015,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Importée neuve,Non,12 CV,Excellent,260 000 DH
il y a 7 heures,Casablanca,2020,Manuelle,Diesel,50 000 - 54 999,Jeep,Compass,5,WW au Maroc,Oui,6 CV,Bon,193 000 DH
il y a 7 heures,Casablanca,2025,Manuelle,Essence,0 - 4 999,Opel,Corsa,5,WW au Maroc,Oui,7 CV,Bon,193 000 DH
il y a 7 heures,Agadir,2002,Manuelle,Diesel,200 000 - 249 999,Skoda,Octavia,5,WW au Maroc,,8 CV,Excellent,78 000 DH
il y a 7 heures,Casablanca,2020,Automatique,Diesel,90 000 - 94 999,BMW,X7,,,,12 CV,Excellent,599 000 DH
il y a 7 heures,Rabat,2015,Automatique,Diesel,200 000 - 249 999,Audi,Q5,5,Importée neuve,Non,12 CV,Excellent,260 000 DH
il y a 7 heures,Casablanca,2020,Manuelle,Diesel,50 000 - 54 999,Jeep,Compass,5,WW au Maroc,Oui,6 CV,Bon,193 000 DH
il y a 7 heures,Casablanca,2016,Manuelle,Diesel,170 000 - 179 999,Ford,Focus,5,WW au Maroc,Non,6 CV,Excellent,143 000 DH
il y a 7 heures,Agadir,2020,Automatique,Diesel,75 000 - 79 999,Dacia,Duster,,WW au Maroc,Non,6 CV,Excellent,188 000 DH
