Ville,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,Prix
Casablanca,2025,Automatique,Hybride,17499.5,Renault,Austral,5.0,WW au Maroc,Oui,7,370000
Salé,2012,Automatique,Diesel,184999.5,Volkswagen,Tiguan,5.0,WW au Maroc,Non,8,148000
Tanger,2023,Automatique,Essence,27499.5,Hyundai,i10,5.0,WW au Maroc,Oui,7,138000
Tanger,2016,Automatique,Diesel,224999.5,Mercedes-Benz,220,5.0,Dédouanée,Oui,11,335000
Casablanca,2018,Automatique,Diesel,104999.5,Land Rover,Discovery Sport,5.0,WW au Maroc,Oui,8,185000
Casablanca,2021,Automatique,Diesel,97499.5,Peugeot,508,5.0,WW au Maroc,Oui,8,198000
Meknès,2008,Manuelle,Essence,194999.5,Audi,A6,5.0,WW au Maroc,Non,13,88000
Tanger,2021,Automatique,Diesel,52499.5,Kia,Seltos,5.0,WW au Maroc,Oui,6,244000
Fès,2021,Automatique,Diesel,97499.5,Mercedes-Benz,Classe GLC,5.0,Dédouanée,Oui,8,650000
Rabat,2012,Automatique,Diesel,224999.5,Audi,Q5,5.0,WW au Maroc,Non,8,165000
Agadir,2023,Manuelle,Diesel,82499.5,Renault,Express,5.0,WW au Maroc,Oui,6,170000
Casablanca,2020,Manuelle,Diesel,124999.5,Renault,Kadjar,5.0,WW au Maroc,Non,6,195000
Casablanca,2015,Automatique,Diesel,164999.5,BMW,X5,5.0,WW au Maroc,Oui,8,225000
Marrakech,2018,Automatique,Diesel,154999.5,Volkswagen,Touran,5.0,Dédouanée,Oui,6,248000
Temara,2022,Manuelle,Diesel,134999.5,Renault,Express,5.0,WW au Maroc,Oui,6,142000
Casablanca,2016,Automatique,Diesel,97499.5,Jaguar,XF,5.0,WW au Maroc,Oui,8,215000
Casablanca,2024,Automatique,Hybride,12499.5,Hyundai,Tucson,5.0,WW au Maroc,Oui,8,380000
Rabat,2012,Manuelle,Diesel,274999.5,Mercedes-Benz,Classe B,5.0,WW au Maroc,Non,6,119000
Marrakech,2018,Automatique,Diesel,62499.5,BMW,X3,5.0,WW au Maroc,Oui,8,340000
Tanger,2007,Manuelle,Diesel,274999.5,Toyota,Hilux,5.0,WW au Maroc,Non,11,95000
Tanger,2022,Automatique,Diesel,22499.5,Volkswagen,Tiguan,5.0,WW au Maroc,Oui,8,365000
Tanger,2017,Automatique,Diesel,104999.5,Mercedes-Benz,Classe C,3.0,Importée neuve,Non,9,415000
Rabat,2015,Automatique,Diesel,174999.5,BMW,X6,5.0,WW au Maroc,Oui,12,280000
Tanger,2022,Manuelle,Diesel,92499.5,Dacia,Logan,5.0,WW au Maroc,Non,6,139000
Salé,2023,Automatique,Diesel,32499.5,Peugeot,3008,5.0,WW au Maroc,Oui,6,345000
Meknès,2022,Manuelle,Diesel,87499.5,Citroën,Berlingo,5.0,WW au Maroc,Non,6,209000
Marrakech,2021,Manuelle,Diesel,114999.5,Dacia,Dokker,5.0,WW au Maroc,Non,6,140000
Tanger,2023,Automatique,Diesel,47499.5,BMW,X4,5.0,WW au Maroc,Oui,8,675000
Marrakech,2022,Manuelle,Essence,47499.5,Volkswagen,Polo,5.0,WW au Maroc,Oui,6,158000
Casablanca,2019,Automatique,Diesel,124999.5,Land Rover,Range Rover Evoque,5.0,WW au Maroc,Non,8,260000
Salé,2017,Automatique,Diesel,224999.5,Volkswagen,Tiguan,5.0,Dédouanée,Oui,8,330000
Casablanca,2021,Automatique,Diesel,42499.5,Jeep,Cherokee,5.0,WW au Maroc,Oui,9,215000
Rabat,2021,Automatique,Diesel,77499.5,Volkswagen,Tiguan,5.0,WW au Maroc,Oui,8,320000
Ouazzane,2014,Manuelle,Diesel,224999.5,Peugeot,Partner,5.0,WW au Maroc,Non,6,99000
Salé,2019,Automatique,Diesel,134999.5,Renault,Clio,5.0,WW au Maroc,Non,6,135000
Fès,2020,Manuelle,Diesel,104999.5,Dacia,Dokker,5.0,WW au Maroc,Oui,6,128000
Salé,2017,Manuelle,Diesel,224999.5,Peugeot,3008,5.0,WW au Maroc,Non,8,175000
Casablanca,2022,Automatique,Diesel,104999.5,Volkswagen,Tiguan,5.0,Dédouanée,Oui,8,480000
Agadir,2019,Manuelle,Diesel,124999.5,Dacia,Lodgy,5.0,WW au Maroc,Non,6,138000
Casablanca,2018,Automatique,Diesel,144999.5,Audi,Q5,5.0,Dédouanée,Non,8,419000
Fès,2021,Automatique,Diesel,164999.5,Jeep,Grand Cherokee,5.0,WW au Maroc,Non,12,204000
Tanger,2020,Manuelle,Essence,104999.5,Citroën,C-Elysée,5.0,WW au Maroc,Oui,7,99000
Casablanca,2021,Manuelle,Diesel,144999.5,Dacia,Dokker,5.0,WW au Maroc,Oui,6,103000
Casablanca,2021,Automatique,Diesel,174999.5,Peugeot,3008,5.0,WW au Maroc,Non,8,250000
Marrakech,2019,Automatique,Diesel,154999.5,Skoda,Karoq,5.0,Dédouanée,Oui,6,275000
Casablanca,2020,Manuelle,Diesel,42499.5,Dacia,Sandero,5.0,WW au Maroc,Oui,6,138000
Salé,2020,Manuelle,Diesel,97499.5,Opel,Grandland,5.0,WW au Maroc,Oui,6,168000
Salé,2025,Manuelle,Essence,7499.5,Kia,Picanto,5.0,WW au Maroc,Oui,6,139000
Casablanca,2018,Automatique,Essence,97499.5,Fiat,500,3.0,WW au Maroc,Non,6,105000
Mohammedia,2017,Automatique,Diesel,114999.5,Jeep,Wrangler,5.0,WW au Maroc,Non,12,400000
Casablanca,2006,Automatique,Diesel,274999.5,Audi,A6,5.0,Importée neuve,Oui,11,58000
